"outcome","period","estimate","se","p_value","N","R2_within","service"
"real_pc_maint_dep_other_log","1929-1933",-0.117774979642884,0.0752000172234145,0.118547280052975,3669,0.227792381195956,"Other"
"real_pc_maint_dep_charity_log","1929-1933",-0.111696960271156,0.0755675890869942,0.140809449388237,3016,0.535340738216888,"Charity"
"real_pc_maint_dep_total_log","1929-1933",-0.0230736569216723,0.00888900412651841,0.00998350306280132,3829,0.654643011691591,"Total"
"real_pc_maint_dep_pp_log","1929-1933",-0.0205356792990675,0.0130777212041057,0.117585208066207,3829,0.419645219646114,"Pp"
"real_pc_maint_dep_gen_log","1929-1933",-0.0021555789692062,0.0137627429321417,0.87566445503471,3829,0.447513972070415,"Gen"
"real_pc_maint_dep_school_log","1929-1933",0.00768300952352743,0.0229253393372176,0.737846476974409,3242,0.217969136397321,"School"
"real_pc_maint_dep_road_log","1929-1933",0.00828388242274221,0.0151456400653233,0.584922420735919,3573,0.222722999582034,"Road"
"real_pc_maint_dep_rec_log","1929-1933",0.0155241758546073,0.0243023875859194,0.523538271932282,3718,0.14096756165939,"Rec"
"real_pc_maint_dep_health_log","1929-1933",0.016783883267244,0.0333972780469747,0.615711010253021,3829,0.146537130567828,"Health"
"real_pc_maint_dep_charity_log","1934-1938",-0.153998328647822,0.0760508546347536,0.0440818114726024,3016,0.535340738216888,"Charity"
"real_pc_maint_dep_total_log","1934-1938",-0.0396758792931048,0.0157571218974284,0.0124143276513685,3829,0.654643011691591,"Total"
"real_pc_maint_dep_other_log","1934-1938",-0.0331411525467118,0.0735251207758527,0.652554170118811,3669,0.227792381195956,"Other"
"real_pc_maint_dep_pp_log","1934-1938",-0.0141271670696238,0.0174580185316157,0.419146999028826,3829,0.419645219646114,"Pp"
"real_pc_maint_dep_school_log","1934-1938",-0.000514907631302068,0.0255749496207289,0.983955382742626,3242,0.217969136397321,"School"
"real_pc_maint_dep_gen_log","1934-1938",0.0032938414084522,0.0193346711352835,0.864862121637729,3829,0.447513972070415,"Gen"
"real_pc_maint_dep_road_log","1934-1938",0.00384143401286301,0.0241035633792397,0.873509805711882,3573,0.222722999582034,"Road"
"real_pc_maint_dep_health_log","1934-1938",0.0124152479694286,0.0469763207631179,0.791771137423664,3829,0.146537130567828,"Health"
"real_pc_maint_dep_rec_log","1934-1938",0.0297505294466286,0.0385388466411473,0.440860189665622,3718,0.14096756165939,"Rec"
