"Variable","N","Mean","SD","Median","25 pct","75 pct"
"Population (k)",12602,40.83,154.02,7.95,4.99,19.56
"Total revenue, excluding debt issuance",12602,84.65,81.68,64.88,39.15,112.99
"Tax revenue",12602,47.45,38.66,32.64,21.02,66.82
"All non-tax revenue (earnings)",12602,26.46,51.04,18.91,8.67,34.94
"Debt receipts",11717,26.01,70.13,3.93,0,32.23
"All other non-tax, non-debt receipts",12602,10.74,21.31,2.81,0,13.79
"Payments: Total service",12602,48.75,39.42,33.09,21.3,68.58
"Payments: government administration",12602,4.72,3.59,4.04,2.71,5.79
"Payments: health and sanitation",12602,3.84,4.75,2.81,1.01,5.36
"Payments: roads and highways",12602,7.86,6.24,7.14,4.52,10.35
"Payments: protection of persons and property",12602,9.94,9.77,8.79,5.24,13.01
"Payments: charities, welfare, and corrections",12602,5.45,10.19,0.49,0,5.7
"Payments: recreation",12602,1.47,2.53,0.81,0.13,2.05
"Payments: school and libraries",12602,11.99,17.61,1,0,27.67
"Other service payments",12602,3.48,8.54,1.1,0.17,4.01
"Public utilites",10340,12.76,60.23,6.89,3.31,13.28
"Interest",12602,5.28,15.01,3.13,1.16,6.57
"Capital outlays",12602,12.5,24.36,4.69,0.78,15.5
"All other non-maintenance, non-outlay payments",11717,11.09,20.31,4.37,0.11,13.59
"Total debt",12599,123.87,312.22,73.23,32.62,148.89
"Total bonded debt",12602,111.14,305.27,67.47,28.25,132.04
"Assessed value of property",9833,2685.44,3209.81,2283.07,1679.4,3013.03
"Defaulted 1930 - 1937 (any district)",12602,0.13,0.34,0,0,0
"Defaulted 1930 - 1937 (city)",12602,0.12,0.33,0,0,0
"Bond debt / assessed value",9833,0.04,0.04,0.03,0.02,0.06
"Interest payment / tax revenue",12602,0.11,0.13,0.08,0.04,0.15
"Debt / total revenue",12599,1.41,1.56,1.11,0.55,1.91
