"Variable","N","Mean","SD","Median","25 pct","75 pct"
"Sus. Bank Deposits (1930-33)",727,0.21,0.28,0.14,0.04,0.28
"Delta Log (Loans 1931-1929)",666,-0.1,0.19,-0.1,-0.17,-0.03
"Debt Age",382,8.13,2.87,7.79,6.38,9.64
"Debt Share (1925-1929)",382,0.34,0.23,0.32,0.16,0.51
"Delta Log (Population 1920-1930)",746,0.24,0.3,0.17,0.04,0.36
"City age in 1930",439,92.66,74.66,72,32,139
"Total outlays (1924-1929)/capita",655,61.26,83.28,39.3,15.79,84
"WPA grants/capita",733,50.05,30.26,45.66,29.56,63.51
"RFC grants/capita",733,41.89,90.65,22.24,11.31,39
"Murder rate/100k",56,9.22,9.04,7.5,3.19,12.7
"Rape rate/100k",57,4.55,4.12,3.35,1.16,6.28
"Robbery rate/100k",58,107.67,81.25,105.01,33.29,157.17
"Assault rate/100k",57,58.69,59.25,37.46,17.23,76.55
"Burglary rate/100k",57,416.7,242.6,386.46,195.45,575.24
"Auto theft rate/100k",56,531.68,260,509.5,341.45,741.73
"Communicable disease deaths/100k",101,208.69,85.04,192.73,155.32,243.48
"Delta Log(Pop 1930-1940)",746,0.08,0.13,0.05,0,0.13
