"outcome","period","estimate","se","p_value","N","R2_within","service"
"real_pc_maint_dep_gen_log","1924-1926",-0.0105911552926956,0.0126551390959557,0.40342626010063,3829,0.447513972070415,"Gen"
"real_pc_maint_dep_gen_log","1929-1933",-0.0021555789692062,0.0137627429321417,0.87566445503471,3829,0.447513972070415,"Gen"
"real_pc_maint_dep_gen_log","1934-1938",0.0032938414084522,0.0193346711352835,0.864862121637729,3829,0.447513972070415,"Gen"
"real_pc_maint_dep_gen_log","1941-1943",0.0189865913597497,0.0277185000940214,0.493976872255724,3829,0.447513972070415,"Gen"
"real_pc_maint_dep_health_log","1924-1926",0.0887303042317354,0.0727729916827182,0.223861978793229,3829,0.146537130567828,"Health"
"real_pc_maint_dep_health_log","1929-1933",0.016783883267244,0.0333972780469747,0.615711010253021,3829,0.146537130567828,"Health"
"real_pc_maint_dep_health_log","1934-1938",0.0124152479694286,0.0469763207631179,0.791771137423664,3829,0.146537130567828,"Health"
"real_pc_maint_dep_health_log","1941-1943",-0.0550936741943188,0.0801384075595531,0.492401709502397,3829,0.146537130567828,"Health"
"real_pc_maint_dep_road_log","1924-1926",-0.00662615907165736,0.0131197484411698,0.613985557060584,3573,0.222722999582034,"Road"
"real_pc_maint_dep_road_log","1929-1933",0.00828388242274221,0.0151456400653233,0.584922420735919,3573,0.222722999582034,"Road"
"real_pc_maint_dep_road_log","1934-1938",0.00384143401286301,0.0241035633792397,0.873509805711882,3573,0.222722999582034,"Road"
"real_pc_maint_dep_road_log","1941-1943",0.026476198578547,0.0446068213715812,0.553374803393917,3573,0.222722999582034,"Road"
"real_pc_maint_dep_pp_log","1924-1926",0.00472478439638044,0.0128711244537024,0.713859584939921,3829,0.419645219646114,"Pp"
"real_pc_maint_dep_pp_log","1929-1933",-0.0205356792990675,0.0130777212041057,0.117585208066207,3829,0.419645219646114,"Pp"
"real_pc_maint_dep_pp_log","1934-1938",-0.0141271670696238,0.0174580185316157,0.419146999028826,3829,0.419645219646114,"Pp"
"real_pc_maint_dep_pp_log","1941-1943",-0.0140337326554621,0.0296035231671604,0.635863923419194,3829,0.419645219646114,"Pp"
"real_pc_maint_dep_charity_log","1924-1926",0.0350155723776782,0.0315469827339875,0.26823232094051,3016,0.535340738216888,"Charity"
"real_pc_maint_dep_charity_log","1929-1933",-0.111696960271156,0.0755675890869942,0.140809449388237,3016,0.535340738216888,"Charity"
"real_pc_maint_dep_charity_log","1934-1938",-0.153998328647822,0.0760508546347536,0.0440818114726024,3016,0.535340738216888,"Charity"
"real_pc_maint_dep_charity_log","1941-1943",-0.192058070196312,0.106057335555724,0.0715220881977822,3016,0.535340738216888,"Charity"
"real_pc_maint_dep_rec_log","1924-1926",0.00451908064947347,0.0375324164041986,0.904258482403003,3718,0.14096756165939,"Rec"
"real_pc_maint_dep_rec_log","1929-1933",0.0155241758546073,0.0243023875859194,0.523538271932282,3718,0.14096756165939,"Rec"
"real_pc_maint_dep_rec_log","1934-1938",0.0297505294466286,0.0385388466411473,0.440860189665622,3718,0.14096756165939,"Rec"
"real_pc_maint_dep_rec_log","1941-1943",0.00506619550253086,0.0607340901756105,0.933586981819784,3718,0.14096756165939,"Rec"
"real_pc_maint_dep_school_log","1924-1926",-0.0573170529043254,0.0273325994278463,0.0371391625325956,3242,0.217969136397321,"School"
"real_pc_maint_dep_school_log","1929-1933",0.00768300952352743,0.0229253393372176,0.737846476974409,3242,0.217969136397321,"School"
"real_pc_maint_dep_school_log","1934-1938",-0.000514907631302068,0.0255749496207289,0.983955382742626,3242,0.217969136397321,"School"
"real_pc_maint_dep_school_log","1941-1943",0.0640211686413535,0.0311159522402557,0.0408222907086492,3242,0.217969136397321,"School"
"real_pc_maint_dep_other_log","1924-1926",-0.11326787999609,0.0792102005457071,0.153946124717784,3669,0.227792381195956,"Other"
"real_pc_maint_dep_other_log","1929-1933",-0.117774979642884,0.0752000172234145,0.118547280052975,3669,0.227792381195956,"Other"
"real_pc_maint_dep_other_log","1934-1938",-0.0331411525467118,0.0735251207758527,0.652554170118811,3669,0.227792381195956,"Other"
"real_pc_maint_dep_other_log","1941-1943",-0.389579673247169,0.107122105857578,0.000333751060245625,3669,0.227792381195956,"Other"
"real_pc_maint_dep_total_log","1924-1926",0.0112011281056094,0.0243485851275005,0.64588372890352,3829,0.654643011691591,"Total"
"real_pc_maint_dep_total_log","1929-1933",-0.0230736569216723,0.00888900412651841,0.00998350306280132,3829,0.654643011691591,"Total"
"real_pc_maint_dep_total_log","1934-1938",-0.0396758792931048,0.0157571218974284,0.0124143276513685,3829,0.654643011691591,"Total"
"real_pc_maint_dep_total_log","1941-1943",-0.0651695998398386,0.0249282437852163,0.00947127570697446,3829,0.654643011691591,"Total"
