"treatment","outcome","period","coefficient","se","n","r2","mean_y","sd_y"
"bonds_to_assess29_lev_moody_std","real_pc_outlay","1924-1926",-0.036664454743217,0.0527838884848779,3732,0.737290060480695,18.9334048504676,31.0370824536079
"bonds_to_assess29_lev_moody_std","real_pc_outlay","1929-1933",-0.266991358132096,0.0503468214795651,3732,0.737290060480695,18.9334048504676,31.0370824536079
"bonds_to_assess29_lev_moody_std","real_pc_outlay","1934-1938",-0.268286241251679,0.0667669314997549,3732,0.737290060480695,18.9334048504676,31.0370824536079
"bonds_to_assess29_lev_moody_std","real_pc_outlay","1941-1943",-0.336068723362436,0.118332045757369,3732,0.737290060480695,18.9334048504676,31.0370824536079
"int_to_rev29_lev_moody_std","real_pc_outlay","1924-1926",-0.0782400516770109,0.0658149063808937,3745,0.723555556152529,19.1737321279601,31.2544315145089
"int_to_rev29_lev_moody_std","real_pc_outlay","1929-1933",-0.18214315731268,0.0744768483022786,3745,0.723555556152529,19.1737321279601,31.2544315145089
"int_to_rev29_lev_moody_std","real_pc_outlay","1934-1938",-0.182664056097033,0.0762793581276267,3745,0.723555556152529,19.1737321279601,31.2544315145089
"int_to_rev29_lev_moody_std","real_pc_outlay","1941-1943",-0.0742166534475759,0.153419454824422,3745,0.723555556152529,19.1737321279601,31.2544315145089
"debt_to_rev29_lev_moody_std","real_pc_outlay","1924-1926",-0.0904562234894084,0.0462872321805506,3748,0.722970453732745,19.1608381200361,31.2182114764622
"debt_to_rev29_lev_moody_std","real_pc_outlay","1929-1933",-0.181356674606499,0.0653691164148727,3748,0.722970453732745,19.1608381200361,31.2182114764622
"debt_to_rev29_lev_moody_std","real_pc_outlay","1934-1938",-0.329538202623557,0.0810522779992286,3748,0.722970453732745,19.1608381200361,31.2182114764622
"debt_to_rev29_lev_moody_std","real_pc_outlay","1941-1943",-0.202630127219311,0.11983011137103,3748,0.722970453732745,19.1608381200361,31.2182114764622
"debt_total29_lev_moody_std","real_pc_outlay","1924-1926",0.0447655508080577,0.0550430306382603,3714,0.562881397660634,17.9384291083084,21.69342360688
"debt_total29_lev_moody_std","real_pc_outlay","1929-1933",-0.0270466065229639,0.0598492559560307,3714,0.562881397660634,17.9384291083084,21.69342360688
"debt_total29_lev_moody_std","real_pc_outlay","1934-1938",-0.217439263312859,0.0661934734104685,3714,0.562881397660634,17.9384291083084,21.69342360688
"debt_total29_lev_moody_std","real_pc_outlay","1941-1943",-0.218575270394234,0.0879459194099459,3714,0.562881397660634,17.9384291083084,21.69342360688
